Наслов,Опис,Категорија,Автор,Издавач,Година,Страници,Цена,Извор
Можам да читам! Здраво... и добра ноќ,"„Можам да читам!“ е серијал на книги за деца кои почнуваат да читаат. Има 4 различни нивоа на читање и без разлика на кое ниво е вашето дете, во овој серијал ќе пронајде совршена книга за себе.",Сликовници,Билјана С. Црвенковска,Светот на Биби,2023.0,19.0,49 Денари,literatura
Волшебната санка,slikovnica za deca so crtezhi,Сликовници,Ели Маказлиева,Едука Мак,2021.0,30.0,100 Денари,literatura
Автобусот Барни оди на патување,"диме на патување заедно со Барни и неговите пријатели. Автобусот има тркалца и звуци кои ќе ги забавуваат вашите најмалечки! Димензии: 215×235 mm, 8 стр, модул со звук и пластини тркалца.",Музички книги,,Топер,2023.0,8.0,430 Денари,literatura
Fingerprint Art: Christmas,"This collection includes 8 amazing ready-made images to paint on, so you and your kid can create art with your own fingertips! You can also cut them out and use them as a decoration on your wall.",Боенки и цртанки,Бранка Бугариска,Арс Ламина,2022.0,20.0,118 Денари,literatura
Илустрираната мајка,"Dzvezda ja sakashe Nevena, me sakashe mene, go sakashe nashiot zaednichki zhivot. Nie trite bevme raznobojni, kako sjajnite sliki nacrtani nasekade po Nevena... Od glavata do petite prekriena so raznobojni tetovazhi, Nevena e najbleskavata, najubavata majka na svetot. Taka misli Delfina (taa samo saka nejzinata prekrasna majka da ne ostanuva na zabavi po cela nokj, i na momenti da ne stanuva chudna.) Nejzinata postara sestra Dzvezda, vekje voopshto ne e sigurna deka toa e taka. Taa isto taka ja saka Nevena, no sѐ shto ponekogash saka e taa da bide malku ponormalna... Mokjna i nezaboravna prikazna.",Романи и раскази за млади,Џеклин Вилсон,Икона,2015.0,252.0,559 Денари,literatura
Три нови македонски бајки,"Авторката Соња Димитрова и илустраторката Маријета Сидовски создадоа бајковита книга за читање во секое време од денот. Меѓу страниците на нашата нова сликовница прошетајте низ волшебните предели населени со откачените принцезички А, Е, И, О и У, Волшебникот Надеж, пчелките Зузујка и Зузујко, речните сирени Белкица, Праскица и Росица... Таму некаде низ бајките се кријат и алчните тролови архитекти и троловите Зузе 1 и Зузе 2, кои се вистински пакосници и не ги сакаат баш убавите и добри работи. Со секоја прочитана бајка, уживајте во новите магии кои го разбиваат злото и овозможуваат во светот повторно да завладеат љубовта, искреноста, правичноста и добрината.",Сликовници,Соња Димитрова,КСЦ Полица,2021.0,24.0,120 Денари,literatura
Одлепи-залепи: Спорт/Животни,"Овој наслов содржи 25 повеќекратни налепници за поттикнување на креативноста и бескрајна забава. Залепете, одлепете, играјте и создавајте одново и одново! Идеално за игра, учење и активирање на детската имагинација! Цената се однесува на 1 сликовница. Во забелешка во нарачката можете да ни посочите дали сакате да ја нарачате Спорт или Животни.",Книги со стикери,,Топер,,,150 Денари,literatura
Македонски календар,"Од необиcхниот македонски писател Владимир шопов (1948-2000) пренесуваме дванаесет досега необјавени песни, мошне необиcхни, духовити и игриви, по една за секој месеc од годината. Книгава се вика Горикола (тоа е старото народно име за првиот месеc од годината, јануари) или Македонски Календар. Поетиcхно, нежно, и преcизно, книгава ја илустираше Инес Ефремова",Сликовници,"Владимир Шопов, Инес Ефремова",Темплум,2021.0,30.0,370 Денари,literatura
Шепотено,"Што сè би направилe за да одите и да го гледате финалето на Лигата на шампионите? Веќе неколку месеци на Филип и неговите другари им е познато дека финалето треба да се одигра во нивниот главен град, во Варшава. Им фали само едно нешто за во живо да ги гледаат Меси, Роналдо, Левандовски или Саудио Мане. Само билет! Но, најефтиниот билет за натпреварот чини сто и шеесет евра. Одлично! Само што тие се средношколци. За да можат да присуствуваат на натпреварот тие би се согласиле на разни понуди за работа. Дури и да делат летоци за сомнителни производи рано изутрина, пред да одат на училиште. Но, некои работни обврски поттикнуваат морални и етички прашања што ќе ги стави овие момци пред една дилема: дали вреди сето тоа да се работи за да се присуствува на ова финале?! Напнат и неизвесен роман за проблемите на тинејџери што се нашле во мрежа полна со лажни вести, тролови и… нешто шепотено.",Романи за деца,Павел Беренсевиќ,Бата Прес,2023.0,222.0,430 Денари,literatura
"Дете, тоа гордо звучи","„Останува само да се каже дека оваа идеја Конески да се осознае, да се чита и како поет за деца, е за една ГОЛЕМА ПЕТКА! А требаше ли да поминат години и години за да го спознаеме Конески и како поет за деца?! Очигледно ДА! Но најбитно е што, кога-тогаш, еве ни го! Еве им го и на децата! Децата што го носат потенцијалот на човековата иднина, онаа иднина што ја посакуваме, на која се на­деваме, но која исто така не можеме докрај да ја предвидиме или да ја насочиме, а уште помалку и да ја контролираме.“",Поезија за деца,Блаже Конески,Антолог,2019.0,84.0,350 Денари,literatura
Капчо и китот,"Едно утро погледнав низ прозорецот и видов кит што плови по небото. Китот беше сино-сив, крупен и несмасен, а сепак си пловеше и си лебдеше со неочекувана грациозност на топлото сончево ветре…",Сликовници,Катерина Бабкина,Артконект,2024.0,60.0,550 Денари,literatura
Рокчето,"На еден неограден имот, пред многу години, живеело едно семејство кое се будело пред утринската роса и петлите во селото. Таткото бил ковач и ги правел најубавите клучеви и потковици, а мајката била ткајачка на разбој.Таа можела да ја вткае најубавата ливада врз килимот за само една ноќ. Но, една тешка зима...",Сликовници,"Никола Mаџиров, Анета Илиевска (илустрации)",Арс Ламина,2023.0,40.0,250 Денари,literatura
Време е за активности - животни,Се дружиме со животните преку многубројните активности. Разнобојни илустрации проследени со интересни активности. Наменета за дечиња над 4 години.,Книги со активности,,Топер,2023.0,96.0,150 Денари,literatura
Кутија,"„… Кога дојде Рашид во училиштето, животот ми се смени на подобро. Конечно добив другар, едно дете на моја возраст, кое во клупата седи до мене и ги споделува своите мисли и чувства со мене. Подоцна ме научи како да играм подобра одбрана во кошарката и илјада и една друга работа. Но, најважно беше оти сфатив дека, доколку имаш барем еден добар другар, животот на училиште ќе ти биде супер. Па ако уште ти зборува Марија, што многу често се случува во последно време, станува сон од кој не сакаш да се разбудиш…“ Ова е само еден цитат од прекрасната илустрирана сторија на Константинос Пацарос, што сведочи за тоа како грчкото училиште ги зближува децата од различна раса и поднебје. Авторот живее во Атина и работи како воспитувач. „Кутија“ е негова прва книга. За ова дело во 2014 година ја има добиено државната награда за литература за деца. Книгата на грчки ја објави во соработка со познатиот илустратор Василис Гривас.",Романи за деца,Константинос Пацарос,Бата Прес,2021.0,95.0,200 Денари,literatura
Олгица и операцијата „Јагуар“,"Авантурите на Олгица продолжуваат во втората книга, но сега со нови ликови и нови предизвици. Иако иднината изгледа ветувачка, на Олгица во еден момент ѝ се појавуваат огромни проблеми. Таа треба да ја реши мистеријата, бидејќи нејзиниот дедо-милионер е исчезнат, а тоа пак е поврзано со животот на нејзината мајка која што треба да прави операција колку што е можно побргу. Таа треба исклучително брзо да најде огромна сума пари, а киднаперот што ја направи целата збрка, не е човек со кого може лесно да се преговара. Но, Олгица е исклучително паметна и има неверојатни идеи. А има и верни пријатели, подготвени во секое време да ѝ помогнат и на пример да ја преземат контролата на надзорните камери на градското собрание, да се соочат со лути кучиња или да му се спротивстават на мафијаш од кого има страв секој во градот.",Романи за деца,Алекс Молдован,Бата Прес,2023.0,292.0,430 Денари,literatura
Самовилската ливада,"Луна ги кани Биби и Боби да ѝ се придружат на интересен излет - во самовилската ливада. Биби и Боби се љубопитни да дознаат повеќе за ливадата и по што е таа посебна, а што ќе откријат и со кого ќе се сретнат таму - ќе дознаете кога ќе ја прочитате оваа сказна.",Сликовници,Билјана С. Црвенковска,Светот на Биби,2021.0,36.0,200 Денари,literatura
Дуќан за еден ден во годината,"Дуќанот за еден ден во годината е отворен секој ден.Можете да појдете и да разгледувате, да пробате, да поставувате прашања. Меѓутоа, доколку сакате да купите нешто, треба да причекате. Бидејќи во овој дуќан може да пазарите само еден ден во годината. Огнен и неговото семејство купуваат само од овој дуќан. Затоа како очите во главата ги чуваат малкуте нешта што ги поседуваат. Но, еден ден, Огнен ќе посака да има повеќе играчки. Тогаш сè почнува да се менува.",Сликовници,Озге Бахар Сунар,Антолог,2023.0,32.0,450 Денари,literatura
Мојата неверојатна книга за вселената,"Картонски книги со многу изненадувања. Прозорчиња, 3д елементи, допри и почувствувај…",Сликовници со тврди страници,,Топер,2024.0,5.0,199 Денари,literatura
Читанката на Биби,"„Читанката на Биби” е наменета за различни возрасти. За најмалечките - на кои би им читале родителите, бабите или дедовците, како и за оние од училишна возраст кои ќе ги научат буквите и ќе ги совладаат текстовите од „Букварот на Биби”. Тие ќе бидат подготвени да продолжат со текстовите и задачите што ќе ги најдат низ страниците на оваа читанка.",Книги со активности,Билјана С. Црвенковска,Светот на Биби,2021.0,24.0,200 Денари,literatura
Дресираните го возвраќаат ударот,"„Дресираните го возвраќаат ударот“ е втор дел од успешната приказна наречена „Како ги дресираме мама и тато“ – одлична духовита книга на Владимир Петрушевски (во коавторство со илустраторката Наташа Костовска), наменета за… родители (но и за деца). Книгата е продолжение на „Како ги дресираме мама и тато“, која веднаш по објавувањето доживеа значаен успех и кај критиката и кај читателите. Станува збор за кратки цртички кои се случки или дијалози со седумгодишните ќерки близначки на авторот. Иако текстот наликува на дневнички записи, со точни датуми кога што се случило, книгата ниту оддалеку не е дневник на таткото, ниту пак лирски излив (кој лесно може да премине во патетика). Напротив. Иако во книгата, од секој збор, јасна е љубовта кон децата, одбирот на темите, стилот на пишувањето, начинот на разговор на родителите со децата, конечно, односот родители-деца, јасно ни покажува дека авторот своите потомци ги смета за еднакви, и, пред сè, интелигентни членови на семејството. Претераниот и напразен патернализам, како и познатото „ајде, дете е“ нема да го најдете во книгава. Но, затоа ќе најдете мудар, сериозен и обмислен пристап кон детските палавштини, кон нивната љубопитност и кон ставот за тоа како треба да се гради свеста на детето и да се воспитува. И се разбира, како треба да се почитува демократичноста. Затоа книгава слободно може да се нарече своевиден прирачник, не само за воспитување, туку за градење на цврсти и јаки личности од нашите деца.",Романи за деца,Владимир Петрушевски Фили,Чудна Шума,2021.0,84.0,440 Денари,literatura
Господинот Кнедла и едрилицата,"Господин Кнедла. Тоа е интересно име, нели!? Тој господин, прво многу сакал да собира секакви предмети во својот дом. Сè додека големи води не го однеле заедно со неговата едрилица на прекрасно патување. Ова е приказна за дивите плажи за госпоѓа Малгошка и за тоа како заедно го чистат светот! За возраст 5 +",Сликовници,"Ана Оњихимовска,Наталиа Јаблоњска",Прозарт Медиа,,40.0,400 Денари,literatura
Земјата на заборавените сказни,"„Земјата на заборавените сказни“ е хибрид помеѓу драмски текст и (графички) роман, помеѓу бајка и модерна фантастична приказна. Помалку потсетува на „Хрониките на Нарнија“, „Алиса во Земјата а чудата“ или, пак, „Волшебникот од ОЗ“, со една голема разлика – што се случува тука, во Македонија, во селото од каде што потекнуваат многу волшебни приказни – Бабино. Што се случува откако Илина, Мартина и Мирон ќе отидат кај баба Јагода во Бабино, каде што нема интернет ниту пак мобилни телефони? Како тие ќе отпатуваат во Земјата на заборавените сказни и каква врска со сето тоа има Баба Јага? И како во оваа приказна се најдоа и самовилата Мирнанеседи и змејот Русе и Супер Марко и… Ех… нема потреба од повеќе прашања! Сето тоа ќе го откриете во оваа книга. „Нит е јаве, нит е сон, меѓу нив има патишта разни, во Земјата на заборавените сказни!“",Романи за деца,Билјана С. Црвенковска,Чудна Шума,,120.0,600 Денари,literatura
"Прастари сказни за херои, чуда, чудесии и чудовишта разни","Дванаесет антички митови, дванаесет мошне познати приказни: митот за Сизиф, маките на Тантал, Пандорината кутија, Одисеј и неговите патувања, Орфеј и Евридика, Дедал и Икар, Персеј и Медуза, подвизите на Херкул… и уште неколку други, прераскажани и приспособени за училишна возраст од писателот за деца Ванчо Полазаревски, надополнети со одличните илустрации на Наташа Костовска.",Романи за деца,"Ванчо Полазаревски, Наташа Костовска (илустрации)",Чудна Шума,2023.0,52.0,500 Денари,literatura
Кога Мешко се лути,"Ако сте се прашувале што треба да направите за да не бидете тажни или како да му помогнете некому да не се чувствува тажно, тогаш оваа книга ќе ви биде ваш мал водич. А, пак, тажното славејче Летко – јунакот на овие приказни – едвај чека да го научите како да се справи со емоцијата тага.",Сликовници,Христина Стефановска,Арс Ламина,2021.0,44.0,360 Денари,literatura
Снежни активности,"Книга со активности исполнета со забавни и снежни лавиринти, боенки, загатки и други креативни вежби.",Книги со активности,,Светот на Биби,2024.0,,100 Денари,literatura
Мојата прва библиотека - ХУЛАХОП,"Книга 29 „ХУЛАХОП“ е дваесет и деветта книга во комплетот, а четврта од „Зелено ниво”. Изучени букви: А Н Е М И С Т О В Д П Л К Р У Г Б Ј З Ш Ж Ч Ц Ќ Ѓ Њ Љ Ф Х",Сликовници,"Деспина Мукоска, Калиопи Трпчева (илустрации)",Арс Ламина,2023.0,24.0,68 Денари,literatura
Кога цутат имињата ; Децата се прва лига,,Поезија за деца,Велко Неделковски,Арс Ламина,2023.0,,250 Денари,literatura
Fingerprint Art: Summer,"This collection includes 8 amazing ready-made images to paint on, so you and your kid can create art with your own fingertips! You can also cut them out and use them as a decoration on your wall.",Боенки и цртанки,Бранка Бугариска,Арс Ламина,2022.0,20.0,118 Денари,literatura
Кој каде живее? : Диви животни,Сликовница со активности за предшколска возраст,Книги со стикери,Бранка Бугариска,Арс Ламина,2022.0,5.0,98 Денари,literatura
Обој ги месеците,Забавна боенка во која сите месеци се претставени со различно зазулче. Оваа боенка содржи цртежи кои на детски начин го претставуваат концептот за месеци и годишни времиња.,Боенки и цртанки,,Светот на Биби,2024.0,16.0,100 Денари,literatura
Бркотница со жирафата Жижи,"Другарчиња, сте чуле ли за новата жителка на волшебната шума? Не? Значи не знаете за хаосот што го направи таа... Дури и во сликовницава! Многу е мала, а многу е немирна, трча наоколу и се губи. Ќе ни помогнете ли да ја најдеме? Да? Јееј!",Сликовници,Билјана С. Црвенковска,Светот на Биби,2022.0,28.0,200 Денари,literatura
Најнеобичен ден - на Биби роденден,"Тој ден беше сe` само не обичен... ќе прашате зошто? Или можеби веќе знаете? Хе-хе, така е, денот беше најнеобичен затоа што на Биби ѝ беше роденден! А кога на Биби ѝ е роденден, се случуваат најнеобични нешта...",Сликовници,Најнеобичен ден - на Биби роденден,Светот на Биби,2022.0,33.0,200 Денари,literatura
Еднорози под виножитото: пиши-бриши вежбанка,,Пиши-Бриши книги,,Арс Ламина,2024.0,19.0,298 Денари,literatura
Мојата прва библиотека - АНА,Книга 1 „АНА“ е првата книга од сетот книги во “Црвеното ниво”. Изучени букви: А Н Е,Сликовници,"Деспина Мукоска, Калиопи Трпчева (илустрации)",Арс Ламина,2023.0,24.0,68 Денари,literatura
Снежната кралица,"Беше ноќ пред Нова година. Надвор вееше снег. Биби и Боби внимателно ја слушаа мама Ана додека им читаше една сказна. Сказната за Снежната кралица. – Се зборува дека далеку на север, онаму каде што нема ништо освен пусти снежни пространства, во град направен од снег и мраз – живее Снежната кралица. Таа е многу убава, но нејзиното срце е направено од коцка мраз. Затоа таа не сака никого и не се грижи за ништо на овој свет. Но, понекогаш се чувствува осаменa во големиот леден град. Тогаш таа знае да маѓепса понекој човек, или дете, и да го земе со себе...",Сликовници,Билјана Црвенковска,Светот на Биби,2024.0,20.0,360 Денари,literatura
"mek povez, 2022","Boenka za 3+ god, Good night",Боенки и цртанки,/,,,,100 Денари,literatura
Пријатели од фармата,Картонска сликовница со изненадување на секоја страница. Комбинираните материјали во оваа книгичка нудат навистина возбудливо искуство за вашите најмалечки.,Сликовници со тврди страници,,Топер,2023.0,10.0,99 Денари,literatura
Ежето Боцко,"Еден сончев ден Биби, Боби и жителите на Волшебната шума играа фудбал. Малку шутираа, малку се караа и во еден момент играта застана - топката летна толку далеку што никој не можеше да ја види, па сите заедно тргнаа да ја бараат. Каде падна топката и кое е новото другарче што го запознаа, кое знае се` за фудбалот, но не може да игра, ќе дознаете во оваа сказна.",Сликовници,"Марта Куковска, Владимир Здравески (илустратор)",Светот на Биби,2024.0,28.0,200 Денари,literatura
Осаменото дрво,"Еднаш, многу, многу одамна, пред милиони, милиони години, кога се создавал светот, кога се појавиле првата светлина и првиот зрак, кога се создале сите планети, комети, големи и мали ѕвезди и соѕвездија, на една малечка планета никнало едно дрво. Тоа дрво било толку големо што ја зафаќало целата планета.",Сликовници,Нина Максимова,Арс Ламина,2022.0,31.0,120 Денари,literatura
Гладното пиле,"„Гладното пиле“ е симпатичен авторски проект на една мајка и нејзиното синче. Прво настанале цртежите на малиот Марко, а потоа мајката Мирјана го напишала текстот, и така се создала една весела, хумористична и забавна приказна за опасното пиле што шетало гладно низ шумата и ги плашело шумските животни, па дури и тигарот Тара.",Сликовници со тврди страници,Мирјана Трајчева Иванова,Арс Ламина,2023.0,15.0,249 Денари,literatura
Во џунглата,"Сликовница за животните од џунглата со живописни бои и интересни факти. Необичниот формат на оваа сликовница со „прозорчиња“ нуди интересн поглед во средината каде што живеат овие животни, а е наменета за деца од рана возраст (3+ год.)",Сликовници со тврди страници,,Арс Ламина,2024.0,10.0,250 Денари,literatura
Антон и баба на дното на морето,"Антон и баба патуваат до дното на морето за на дното на морето да го најдат прстенот на баба. Тие сретнуваат опасни чудовишта, гладни китови и чудесни сирени, а Антон мора да биде многу вешт ако сака да управува со подморницата и да го врати прстенот. Ги чека уникатно авантуристичко патување, бидејќи кога баба е со вас, никогаш нема здодевен момент.",Сликовници,"Томас Брунстром, Торбјорн Кристоферсен",Сакам Книги,2024.0,32.0,280 Денари,literatura
Бушава пишуванка,„Бушава пишуванка“ е вежбанка наменета за пишување на печатните букви и развивање на графомоториката. Пишуванката е креирана според култната книга „Бушава азбука“ од Горан Стефановски и Душан Петричиќ.,Книги со активности,,Чудна Шума,2024.0,,250 Денари,literatura
Боенка Летен Одмор,,Боенки и цртанки,,Едука Мак,2024.0,20.0,130 Денари,literatura
Марта пред огледалото,"Марта има околу седумнаесет години. Барем ги имаше кога премина на другата страна, на страната на празната, безболна, неповратна вечност. Огледалото пред кое се сеќава на последните моменти од животот, не ја отсликува нејзината слика, туку само нејзините сеќавања и чувства. Какво олеснување што не мора да го слуша плачот на мајка си или немиот очај на татка си. Чувството на слобода, затоа што веќе не мора да се преправа дека јаде или, уште полошо, навистина да јаде за да му угоди на семејството... Во драматичен дијалог што се чита како приказна, Марта искрено и директно зборува за својата состојба, за анорексијата. Притоа, со иронија ги измазнува рабовите на спомените, кои ја водат до копнеж по девојката што некогаш била. Марта со својата тинејџерска бунтовност е немилосрдна и овој нејзин став текстот го посипува со огледала што таа ги прикачува на себе и ги насочува кон општеството. Кога ќе ја разоткрие сложеноста на причините зад својата болест и зад смртта, таа конечно успева да излезе од фаталноста на маѓепсаниот круг. Во страшната завршница на животот, каде што веќе нема простор за блефирање, соочена со реалноста и со вистината, таа успева да ја види конечноста на својата состојба.",Романи за деца,Тереса Кало Фонтан,Сказнувалка,2024.0,68.0,400 Денари,literatura
The mysterious city under the Kale fortress,"""Дали си подготвен за една суперавантура, стотиcи години наназад низ историјата во нашиот главен град, Скопје? Да истрајуваш, да се бориш и да се криеш, да бидеш вистински јунак? Оваа книга нема да ја cхиташ по вообиcхаен редослед. Низ страниcите ќе се сооcхиш со многу предизвиcи. Ќе се запознаеш со Скопје и со јунаcите од неговото минато кои се споменуваат и до ден-денес, бидејќи со своите дела, храброста и јунаштвото оставиле пеcхат зад себе. А сега, ти си на ред да станеш јунак. Додека се двијиш низ страниcите на оваа книга, мораш да бидеш многу храбар и мудар. Ако се слуcхи да се изгубиш, не предавај се, обиди се повторно. Книгата секогаш ќе те врати на вистинскиот пат! Со помош на оваа авантура ќе науcхиш еден дел од историјата што е знаcхаен за нашиот главен град. Тоа е периодот кога градот Скопје бил под османлиска власт.",Книги со активности,Александра Тодоровиќ,Арс Ламина,2021.0,48.0,590 Денари,literatura
Волшебната елка - Новогодишна боенка,,Боенки и цртанки,,Арс Ламина,,16.0,99 Денари,literatura
Нела Смела и Бушавата Бура,"Што да прави? Нела размислуваше и си ја потчукнуваше главата со показалецот. Таа беше мошне досетливо девојче. А и не се плашеше од ништо, особено не од бушави бури. Инаку не би била Нела Смела, нели?",Сликовници,Билјана С. Црвенковска,Чудна Шума,2022.0,32.0,325 Денари,literatura
Нови бајки од Македонија,"„Нови бајки од Македонија“ е збирка од 24 современи, авторски бајки, кои го збогатуваат омилениот жанр на децата. Некои од нив се случуваат и во наше време, на наши предели и со препознатливи ликови од нашето опкружување, со што уште повеќе им се приближуваат на малите големи читатели. „Нови бајки од Македонија“ го вдомуваат светот на бајките со коишто сме пораснати во македонскиот јазик. Тие истовремено и го развиваат авторскиот глас произлезен од најубавата традиција на раскажувањето. Станува збор за новата, голема книга со 24 бајки, од 23 автори, кои беа селектирани за најдобри или влегоа во потесниот избор на конкурсот „Нови бајки од Македонија“ од 2020 година и кои беа објавени изминатите години како посебни сликовници или беа дел од книгата „Детелинки-белинки“. Новото издание е збогатено со нови, раскошни илустрации, кои ги нацрта Орце Нинески. „Нови бајки од Македонија“ ги обединува сликовниците „Перуника“ од Сибо, „Бакнежот на пролетта“ од Елизабета Баковска, „Сончевото момче Ил“ од Катерина Данаилова, „Осаменото дрво“ од Нина Максимова, „Океанија“ од Мартин Миљев, „Луѓето и змејовите“ од Владо Јаневски, „Детето на месечината“ од Јана Глигороска и „Зелда и Фе и болниот змеј“ од Катерина Трајановска, како и бајките од читанката „Детелинки белинки“: „Авантурите на едно мракче“ од Билјана Станковска, „Во земјата на белите облачиња“ од Владо Димовски, „Приказната за Вин“ од Анета Ристеска, „Часовникот на Симон“ од Клементина Петрушевска, „Детелинки-белинки“ од Мартина Дукоска, „Бајка за Нова година“ од Светлана Дарудова, „Зелената кралица“ од Анита Димовска, „Змејот од Пелистер“ од Биљана Стојановска, „Горделивата жирафа“ од Ана Ѓорѓевиќ, „Волкот Пук“ од Марија Ралповска, „Волшебен лет“ од Мимоза Тодоровска, „Папагалот и кучето“ од Владо Јаневски, „Mагијата на другарството“ од Алма Растодер, „Не е добро да се лаже“ од Ана Гаштарова, „Јагулата и рибарот Климе“ од Анастасија Илиевска и „Авантурите на Tрепколетка“ од Весна Кираџиева. Во книгата е вклучен и речник на помалку познати зборови.",Сликовници,Група автори,Арс Ламина,2024.0,159.0,990 Денари,literatura
Мојата прва библиотека - ПРОЛЕТ,"Книга 15 „ПРОЛЕТ“ е петнаесетта книга во комплетот, а петта од „Жолто ниво”. Изучени букви: А Н Е М И С Т О В Д П Л К Р У",Сликовници,"Деспина Мукоска, Калиопи Трпчева (илустрации)",Арс Ламина,2023.0,24.0,68 Денари,literatura
Сликовница за принцези со штосни налепници - тетоважи,Блесни како принцеза! Влези во бајка со овие 24 забавни активности со налепници! Оваа книга содржи: 4 страници со налепници 24 страници со забавни активности 1 страница со трансфер - тетоважи (со детални инструкции за нанесување и состојки),Книги со активности,,Арс Ламина,2024.0,,299 Денари,literatura
Festa e Vitit të Ri në pull,,Сликовници,Ели Маказлиева,Едука Мак,0.0,20.0,90 Денари,literatura
Магла,"Лондон, 1880 г. Тринаесетгодишниот Клеј е блатар: едно од многуте момчиња што копаат во калливите брегови на Темза во потрага по предмети што ќе може да ги продадат за да преживеат. Еден ден Клеј тргнува да ѝ продаде тарот-карти на претскажувачката од Чудесниот циркус Смит и Спероу и го преминува прагот на циркусот. А, таму, во еден од кафезите, затворен е „последниот жив волк во Обединетото Кралство“. Застанат пред тоа суштество со сребрено крзно и килибарен поглед, не може да им поверува на своите очи. За него, навикнат да ги минува деновите на отворено, без какви било ограничувања, ваквата глетка на тоа величествено животно во малиот кафез, жртва на ѕверските насилија на дресерот Парсон, е неподнослива. Оттогаш Клеј нема да се смири додека Магла не биде повторно на слобода.",Романи за деца,Марта Палацези,Сказнувалка,2022.0,151.0,550 Денари,literatura
Народното творештво во традицијата,"НАРОДНОТО ТВОРЕШТВО И ТРАДИЦИЈАТА“е книга за деца од авторката Васка Јовановска, во која главниот и препознатлив лик за децата СУПЕР СМЕШКА на многу сликовит и оригинален начин го води детето низ текст и оригинални илустрации кон стекнување основни сознанија и знаења за народното творештво и традицијата на македонскиот народ. Со помош на оваа книга се пренесуваат и негуваат: културата, фолклорот, обичаите и традиционалните вредности во сите облици коишто се пренесуваат како наследство од претците од колено на колено.",Сликовници,Васка Јовановска,Едука Мак,0.0,,200 Денари,literatura
