Наслов,Опис,Категорија,Автор,Издавач,Година,Страници,Цена,Извор
Бибиверзум 4,Книга со активности наменета за деца од четврто одделение.,Книги со активности,Владанка Д. Урошева,Светот на Биби,2021.0,38.0,220 Денари,literatura
Детето на Графало,"„Детето на Графало“ е продолжение на светскиот бестселер „Графало“, од авторката Џулија Доналдсон и илустраторот Аксел Шефлер. Графало ги предупредува своите деца да не стапнат во густата, темна шума затоа што таму се крие Силниот Страшен Глушец. Но, Детето на Графало место нема да го држи и ќе тргне низ снегот во потрага по „ѕверот“. По патот сретнува различни животни, но ниту едно не му наликува на Силниот Страшен Глушец. А малото глувче и овојпат ќе биде многу итро и вешто и ќе успее да го надмудри Детото на Графало, па спокојно да си шета по густата, тема гора.",Сликовници,Џулија Доналдсон,Елоквента,2024.0,20.0,310 Денари,literatura
Љубов и бакнежи,"„Дали мислиш дека сме досадни?” Рече Кејти. Тоа беше еден од моите тајни стравови. Но не бев подготвена да признаам. Ние бевме добрите девојки, јас и Кејти. Не бегавме од училиште, редовно си ги пишувавме домашните задачи или пак имавме дечковци. Сè додека не го сретнав Алекс и тогаш БУМ! Така беше кога се случи. Јас лебдев во облаци… Заносна приказна за првата љубов и учењето да се направи вистинскиот избор “Смешно, енергично и фантастично четиво!”",Романи и раскази за млади,Џин Ур,Икона,2011.0,176.0,459 Денари,literatura
Учиме математика со Софија: Броеви до 10,"Броевите и операcиите со нив се дел од твоите секојдневни активности. Па, така, и оваа вежбанка е полна со лавиринти, боенки и решаванки со кои деcата ќе уcхат и ќе се забавуваат. ќе науcхат: • да бројат до 10 • да пишуват броеви до 10 • да собираат и да оџемаат до 10 • да одредуваат повеќе или помалку • да бојат, да поврзуваат и да решаваат загатки.",Книги со активности,Билјана Стојоска - Златков,Арс Ламина,2021.0,32.0,148 Денари,literatura
Радосница - Сина панделка/Розова панделка,"Посебни мигови, Први единствени и неповторливи искуства…. Сината панделка е посветена на вашето момченце: многу страници што треба да се напишат, ден по ден… За да се сочуваат најубавите и најважни моменти на првите фантастични дванаесет месеци на вашето најмило! Цената се однесува на една радосница. Во забелешка во нарачката можете да ни посочите дали сакате да нарачате сина или розова радосница.",Радосници,,Топер,,30.0,350 Денари,literatura
Зборувам како река,"Џордан Скот во оваа трогателна и охрабрувачка книга пишува врз основа на сопственото искуство, а илустраторот Сидни Смит сјајно ја илустрира. Ова е книга за секое дете кое се чувствувало изгубено, осамено и невклопено.",Романи за деца,"Џордан Скот, Сидни Смит",Темплум,2022.0,40.0,370 Денари,literatura
Метеорологија,"Дознај: Кои се предзнаците за убаво време, а кои за лошо време; Како се вршат метеоролошки мерења и набљудувања; Што се случува при движењето на големите воздушни маси; Какви временски прогнози постојат; Како луѓето влијаат врз климата. Пробај: Да го одредиш дневниот тек на температурата; Да ги одредиш насоката и брзината на ветерот; Да го препознаеш родот на облаците; Да ја пресметаш оддалеченоста на грмежите од местото на кое се наоѓаш; Да користиш метеоролошки карти.",Детски енциклопедии и атласи,Недељко Тодоровиќ,КСЦ Полица,2022.0,32.0,250 Денари,literatura
Албум со сликички 'Сказните на Биби',"Започнете го вашето патување со Биби и Боби. Овој албум не е само за собирање сликички, туку за доживување вистинска авантура! Ќе треба да ги истражувате сите авантури на Биби и Боби и да ги соберете специјалните сликички што ќе ве водат низ светот на фантазијата! Сите што ќе го пополнат албумот ќе добијаат незаборавен подарок - ПЕРСОНАЛИЗИРАНА СЛИКОВНИЦА.",Сликовници,,Светот на Биби,2025.0,68.0,200 Денари,literatura
Кражба во музејот,"Убав сончев ден. Биби, Боби, Зази, Зина и Р1 шетаат низ градот. Поминуваат покрај природонаучниот музеј и... одеднаш се слуша силен аларм, а од музејот истрчуваат – три зазулчиња (и еден мал камен – метеор – во раце кај едното од нив)! По нив трча чуварот на музејот. Биби и Боби се шокирани. Што ли зеле тие зазулчиња",Сликовници,Билјана С. Црвенковска,Светот на Биби,2021.0,36.0,200 Денари,literatura
"Рико, Оскар и скршеното срце","""За некој што е скромно талентиран, дневникот е пронајдок на векот. Па, Рико не престанува да пишува. И, се разбира, неговиот другар Оскар повторно се појавува. Всушност, тој е речиси дел од семејството Дорети, на улицата Дифе 93. Но, мама е во голема неволја - а Рико и Оскар не знаат во што се впуштаат при обидот да и помогнат. Човеку, човеку, човеку! Рчковци со убиствени заби, штала за камења еден куп и еден куп скршени срца - овој пат Рико и Оскар ќе мораат да се соочат со нешто многу повеќе од обичен криминален случај. Но, таков е Животот. Или, како што знае да каже Рико: Селави!""",Романи за деца,Андреас Штајнхефел,Арс Ламина,2023.0,219.0,350 Денари,literatura
Стела и Сани: Едно непознато суштество,"Ветувањето е ветување. Тоа не смее никогаЃш да се прекрЃши. Сѐ започна вака: една ноЃЌ, пред да си легне, Сани слуЃшна... невообичаен звук зад фрижидерот. ЗнаеЃше дека таму живее некое суЃштество. Но не сакаЃше да открие Ѓшто е тоа без Стела, а ни без тебе. А ти сакаЃш ли да откриеЃш? Ако сакаЃш, влегувај во наЃшата приказна! Те чекаме!",Сликовници,Бистра Георгиева,Издавачки центар ТРИ,2021.0,32.0,250 Денари,literatura
Животните од Европа - Пиши-бриши,"Помогни му на штркот да се спакува за уште едно патување, на бувот да ги најде очилата за ден, на лисицата да ги дошие нарачките...Потоа поуживај во читањето на волкот, заедно со другите животни. Со овие едноставни и забавни активности, подредени по тежина, вежбанката ќе им помогне на децата од предучилишна возраст да ја вежбаат раката, да се навикнат на приборот за пишување и да стекнат самодоверба во првите чекори во цртањето и пишувањето, преку: • Почетно пишување разни видови линии (прави, коси, заоблени, брановидни и цикцак); • Слободно пишување линии; • Развивање на фините моторни вештини на мускулите на рацете и прстите (графомоторни вештини); • Можност вежбата да се повтори повеќепати и детето да се коригира самостојно. Оваа вежбанка е реупотреблива. На нејзините страници може да се пишува со овој или со друг маркер за бела табла (пиши-бриши), а се брише со марамче, обична ткаенина или сунѓер. На тој начин децата можат да се навраќаат на активностите повторно и повторно, што им овозможува градење на самодовербата, но и долготрајна забава.",Пиши-Бриши книги,Оливера Ќорвезировска,Арс Ламина,2022.0,24.0,299 Денари,literatura
Letters and Numbers 123 activity book,"Книга со активности за деца на предучилишна возраст. Преку боење, цртање и други интересни активности децата ќе ги учат броевите од 1 до 10",Книги со активности,,Арс Ламина,2024.0,23.0,118 Денари,literatura
Седумте Некоиси и седумте македонски композитори,"Едноставно, тие не беа од оваа планета, ниту беа дел од оваа книга. Никој не знаеше од каде и кога се појавија. Ја отворија корицата, влегоа набрзина и без никакви расправии секој си влезе во различно поглавје од книгата. Во книгата имаше седум поглавја, а тие беа седум. Седумте Некоиси. Книга наменета за децата од училишна, но и предучилишна возраст. Преку необична и весела приказна за седумте Некоиси, децата ќе се запознаат со седум македонски композитори и со основните музички поими. На крајот од книгата е сместена и „Мала музичка енциклопедија“.",Сликовници,"Бистра Георгиева, Александар Трајковски",Чудна Шума,2022.0,64.0,490 Денари,literatura
Розови слонови,"Зад станичните складови проаЃѓа автобус. Низ сувата улиcа ЃЌе помине труба прав, ЃЌе го допре плочникот, ЃЌе ја снема. ќе се укаже потоа малку подалеку, деcата трчаат и ускокнуваат во таа мала вртелеЃшка на ветрот, таа ЃЌе им избега, ЃЌе исчезне, ЃЌе отскита понатаму. Деcата трчаат по неа и викаат. Жжената Ѓшто поминува мрмори, не обрнувајЃЌи се никому: „Луди деcа. А тоа е најопасно. Најопасно.“ Не објаснувајЃЌи понатаму, како да кажала премногу од забранетото, таа заминува. ЃЧудната ветрена вртуЃшка се јавува пак на крајот од улиcата, како мамка.",Сликовници,"Влада Урошевиќ, Ѓорѓе Јовановиќ",Темплум,2021.0,32.0,340 Денари,literatura
Мојата прва книгичка - Животни,"Сензорните црно-бели книги се специјално изработени за новороденчиња и бебиња. Содржат едноставни црно-бели илустрации со остри линии и контури, кои имаат способност да го зграпчат вниманието на бебето. Остриот контраст им олеснува на бебињата да се фокусираат и да ги следат сликите. Првите неколку месеци од животот на бебињата се од суштинско значење за развојот на нивниот вид. Новороденчињата се раѓаат со неразвиен вид, но нивната способност за перцепција на светот околу нив и за процесирање на визуелните информации брзо се подобрува во текот на следните неколку месеци. Докажано е дека сликите со висок контраст, особено црно-белите слики, се навистина ефикасни за привлекување на вниманието на бебето и развој на визуелниот систем. – го стимулираат визуелниот кортекс, помагајќи им на бебињата да остварат нервни врски неопходни за визуелна перцепција и внимание. – раната визуелна стимулација е од клучно значење за нивниот когнитивен развој. – визуелна стимулација на фокус кој помага за развивање на вештините за концентрирање и набљудување. – одлична можност на родителите да развијат рана и значајна врска со своето дете. Заедничките моменти поттикнуваат воспоставување на подлабока емоционална врска и го поддржуваат развојот и растот на детето во општеството. – можност за рана едукација со откривање на едноставни форми, шеми, животни, предмети, која ќе биде основа за иден развој на способноста за говор и учење. Бројни студии од областа на детската психологија и невронауката ја поддржуваат ефикасноста на црно-белите визуелни стимули кај бебињата. Истражувањата укажуваат дека овие облици и фигури најсилно се врежуваат во ретината на бебето, која праќа посилни сигнали до мозокот. Овие сигнали значат побрз раст на мозокот и побрз развој на видот. Сите докази укажуваат дека овие книги имаат позитивно влијание врз визуелниот и когнитивниот развој во првите неколку месеци.",Сликовници со тврди страници,,Сакам Книги,,7.0,290 Денари,literatura
Мојата прва библиотека - комплет,,Сликовници,Деспина Мукоска,Арс Ламина,2023.0,,2.018 Денари,literatura
Мојата прва библиотека - ШУМ,"Книга 20 „ШУМ“ е дваесетта книга во комплетот, а десетта од „Жолто ниво”. Изучени букви: А Н Е М И С Т О В Д П Л К Р У Г Б Ј З Ш",Сликовници,"Деспина Мукоска, Калиопи Трпчева (илустрации)",Арс Ламина,2023.0,24.0,68 Денари,literatura
Лола и Јас,"Посебно пријателство изградено од мали нешта: прошетки во паркот, голем див костен, најубавите ќофтиња на светот од Марио, излети на море. И сликарот Микеланџело, мразулци во ноздрите, пица на каучот, шпионски и авантуристички филмови. Кога постојат вакви пријателства, човек може повторно да ја пронајде радоста.",Сликовници,"Кјара Валентина Сегре, Паоло Доменикони",Сказнувалка,2023.0,36.0,500 Денари,literatura
Запчињата раскажуваат и порачуваат,"Оваа прекрасна сликовница за вас ја напиша Д-р. Милкица Моцан, а убавите илустрации ги направи Филип Коруновски. Повелете, азбуката на Д-р. Милкица Моцан: АЗБУКАТА НА ОРАЛНОТО ЗДРАВЈЕ",Сликовници,Милкица Моцан,КСЦ Полица,2023.0,24.0,300 Денари,literatura
Лисичја Месечина,Полна месечина. Мама оди на ноќно дежурство и Зоја поминува уште една осамена вечер во куќичката на работ на шумата. Од мислите ја буди силно мјаукање. Зоја излегува низ прозорецот на покривот и по мачорот се пентари низ гранките на високиот даб. Одеднаш здогледува две блескави очи. Губи рамнотежа и паѓа длабоко…,Романи и раскази за млади,Маша Огризек,Чудна Шума,2024.0,83.0,800 Денари,literatura
Го откриваме Животот на фарма / Светот на дино - сложуваме сложувалки!,Книгичка со сложувалки. На секоја страница има сложувалка од по 4 дела.,Книги со активности,,Топер,2024.0,5.0,120 Денари,literatura
Денот кога ти ни дојде,"Те очекувавме со нетрпение долго време. Не знаевме кога ќе дојдеш. Но, еден ден, конечно пристигна.",Сликовници,"Долорес Браун, Реза Далванд",Арс Ламина,2021.0,36.0,450 Денари,literatura
Љубов во топка,"„Љубов во топка“ е интерактивна илустрирана книга за деца на авторката Ана Јовковска, која го обработува проблемот на врсничкото насилство (булинг) како еден од најгорчливите проблеми на денешното општество. Приказна за пријателството и емпатијата, што го анализира широкиот спектар на емоции кај децата. Книга за кревкото детско срце, за гласот што треба да го пронајдеме, за храброста да кажеме како се чувствуваме и можноста секое дете да биде херој или хероина. Чувствата што доминираат во нарацијата и илустрацијата се тага, осаменост, нарушена самодоверба, но и верба, храброст, љубов и надеж. Покрај главната наративна нишка во книгата е опфатена и темата за различноста односно маргинализирањето на поинаквите деца. Иако приказната не бега од тагата како емоција, таа дава решение како да се канализираат емоциите и да се пронајде сопствениот глас. Завршува оптимистички, со надеж дека љубовта и добрината го носат новиот детски свет.",Сликовници,"Ана Јовковска, Иванка НиБа (илустрации)",Светулка Нова,2024.0,28.0,400 Денари,literatura
Зина,Запознај ја Зина! Едиција од картонски книги наменети за нашите најмали обожаватели.,Сликовници со тврди страници,,Светот на Биби,,,250 Денари,literatura
Мојата прва библиотека - ЛЕВО ИЛИ ДЕСНО?,"Книга 12 „ЛЕВО ИЛИ ДЕСНО“ е дванаесетта книга во комплетот, а втора од „Жолто ниво”. Изучени букви: А Н Е М И С Т О В Д П Л",Сликовници,"Деспина Мукоска, Калиопи Трпчева (илустрации)",Арс Ламина,2023.0,24.0,68 Денари,literatura
Каде е мојот дом?,"„Земјата некогаш била најубавата планета во Вселената, со широко, чисто, сино небо над неа, со бескрајно зеленило распослано по нејзината површина. Но, со време сè се сменило. Синилото на небото и зеленилото на нејзината површина веќе не биле како некогаш.“ Пред нас е приказната за светот кој се менува под влијание на луѓето кои немаат свест за околината и за добродушната верверичка која ќе остане без својот дом. Еден од најубавите начини како да им помогнеме на дечињата од претшколска возраст да ја стекнат свесноста за околината, токму кога почнуваат да го откриваат светот, е да прочитаат убава книга. „Каде е мојот дом?“ од турската писателка и илустраторка Сезен Аксу Ташјурек, во превод на Васко Марковски, е книга што ќе се чита токму од таа причина. „На најубавата планета во светот и на сите живи суштества што живеат на неа…“",Сликовници,Сезен Акцу Ташјурек,Чудна Шума,2023.0,52.0,550 Денари,literatura
Картонска сликовница - Зази,Запознај ГО Зази! Едиција од картонски книги наменети за нашите најмали обожаватели.,Сликовници со тврди страници,,Светот на Биби,,,250 Денари,literatura
Лука вели,,Романи за деца,Срѓан В.Тешин,Прозарт Медиа,2023.0,96.0,350 Денари,literatura
Сликички 'Сказните на Биби',Сликички за албумот Сказните на Биби. Една кесичка содржи 5 сликички.,Книги со стикери,,Светот на Биби,,,35 Денари,literatura
Професорот,"Приказна за животот на млад професор Вилијам К.За неговото детство , семејна трагедија неговата професија како професор во ушлиште за девојки во Брисел и за неговите љубовнуи авантури .",Детски класици,Шарлот Бронте,Мартина,2022.0,238.0,360 Денари,literatura
Дневник на прочитани лектири,"При читањето на лектири, дел од учениците се соочуваат со проблем при обработка на прочитаното дело. Затоа најдобро е додека ја читаш лектирата да запишуваш и да водиш дневник на читање. На тој начин ќе запишеш и запомниш најголем дел од делото, а обработката подоцна ќе ти оди многу полесно. Во оваа мала вежбанка се обидовме да ти помогнеме со тоа што подготвивме обрасци за обработка на 10 дела, од различен род и вид: романи, драми, збирки раскази и збирки песни.",Книги со активности,,Арс Ламина,2021.0,31.0,100 Денари,literatura
Боенка Чудесни еднорози,"""За развој на моторичките вештини кај децата За јакнење на концентрацијата За поттикнување на детската љубопитност, фантазија и креативност""",Боенки и цртанки,,Арс Ламина,2023.0,,68 Денари,literatura
Урнебесна биологија,"Ако одлучи да ја прочиташ оваа книга мислејќи дека ќе дознаеш зошто диносаурусите не оделе на училиште, кои гранки постојат во биологијата, иако таа не е дрво, дали знаењето за ихтиологија ти е неопходно кога ќе отидеш на рибина чорба, дали во гените ти е запишано да немаш петка по математика или дали знаењето за мастите ти е важно за купувањето вкусни џимиринки... впрочем... грешиш, но...",Романи за деца,Андреја Лесковац Драгана Петровиќ,КСЦ Полица,2023.0,143.0,300 Денари,literatura
Мојата неверојатна книга за возилата,"Картонски книги со многу изненадувања. Прозорчиња, 3д елементи, допри и почувствувај…",Сликовници со тврди страници,,Топер,,5.0,199 Денари,literatura
Патувам и истражувам,"Патувам и истражувам е едукативно - забавна слиовниcа - книга за деcа, тематски поврзана со патување низ македонските познаcхајни туристиcхки места, преку препознатливиот лик на деcата - Супер Смешка. Содржината делува интерактивно кај најмалите со cел запознавање со убавините и знаменитостите на родниот крај, негувајќи ја љубовта кон својата татковина на сликовит и забавен наcхин. Книгата има повеќе функcии: информаcиски-воспитна, естетска, говорно-јазиcхна и забавна функcија.",Книги со активности,Ели Маказлиева,Едука Мак,2021.0,16.0,200 Денари,literatura
Хари Потер и Полукрвниот Принц,"Дамблдор доаѓа да го земе Хари уште за време на летниот распуст; една од неговите дланки е поцрнета и сува, но Хари не дознава зошто. Сепак, во тој момент почнува нивната заедничка мисија: да се влезе во темното минато на Лордот Волдеморт и да се открие неговата најдлабока тајна. Во меѓувреме, пак, волшебничкиот и маголскиот свет се во хаос. Секојдневно исчезнуваат волшебници и обични луѓе, присуството на дементорите се чувствува насекаде, а министерствата на двата света се на работ на пропаст – знаци дека полека но сигурно Мрачниот господар ја наметнува својата власт. Дури и Хогвортс – најбезбедното место на светот – веќе не може да ја гарантира сигурноста на своите ученици. Силите на доброто и злото веќе длабоко се навлезени во отворена војна. „Хари Потер и Полукрвниот принц“ е шестиот дел од серијалот за младиот волшебник Хари Потер и неговите авантури во светот на волшебниците и магијата.",Научна фантастика и Фантазија за млади,Џ. К. Роулинг,Арс Ламина,0.0,504.0,650 Денари,literatura
Да можев да ти го подарам Божиќ,"Прекрасна божиќна приказна која ги потсетува читателите на најубавите аспекти на Божиќ и Новата година – споделување радост, споделување подароци, убави песни, посебни приказни, забавни игри, зимска идила и незаборавни спомени со оние кои ни се најсакани. Лизгање на замрзнато езеро, правење празнични колачиња, препрочитување на омилените приказни… сите овие активности и уште низа други се оживеани преку разни слатки животинчиња. Вкусовите, мирисите, глетките, звуците и боите на најубавите празници се евоцирани во универзални сцени кои прикажуваат специјални моменти, споделени помеѓу деца и родители, семејства и пријатели. Читањето на оваа сликовница може да стане една потполно нова празнична семејна традиција!",Сликовници,"Лин Плорд, Џенифер Л. Мајер (илустрации)",Сакам Книги,2023.0,32.0,320 Денари,literatura
Малото Диносаурусче,"Уште десет минути до спиење, ама малото диносаурусче Рики не се дава. придружете му се на Рики во неговиот последен трк низ џунглата додека мама му одбројува до времето за заспивање. Од најпродаваната едиција на сликовници што на совршен начин им помагаат на децата да се подготват и да стекнат навика на време да легнуваат во кревет и полесно да заспијат.",Сликовници,"Рајмон Филдинг, Крис Четертон",Бата Прес,2023.0,36.0,350 Денари,literatura
Бројот 25,"Двајца браќа, Бадр и Рида, сонуваат за важен ден. Ден кој што нестрпливо го очекуваат. Но, во меѓувреме, многу интересни настани се случуваат. Некои можеби ќе им создадат проблеми, a некои можеби ќе создадат нови можности… Но најголемиот предизвик со кој што ќе се соочат е број. Дали го гледате бројот во насловот на оваа книга? Дали можете да претпоставите како ќе ги смени животите на двајцата браќа?",Романи за деца,"Феда Штиjа, Рут Бароус",Прозарт Медиа,2022.0,112.0,350 Денари,literatura
Кој е денес главен,"Ника е најмалото девојче во семејството и таа едвај чека да биде главна. И кога ќе се случи тоа? На крајот на книгава! Но, пред да биде главна треба да поминат неколку годишни времиња и треба да направи неколку урнебесни работи, да патува, да си игра, да научи нешто ново и малку да порасне… Духовита и интересна приказна со преубави илустрации. Писателката и поетеса Наташа Конц Лоренцути, од година во година станува сѐ попрепознатлива и попопуларна авторка за млади во словенечкиот литературен простор. Таа во минатото веќе покажа дека е блиска до семејните приказни и анегдоти со сликовницата Какво дрво расте од мачор. Приказните од книгата Кој е денес главен се пријателски и духовити, а настаните се оригинални и мотивирачки. Книгата е совршена и за семејно читање. Ликовниот изглед ѝ беше доверен на младата, но сѐ поактивна и препознатлива уметничка Тања Комадина. Овој пат, нејзините илустрации се живописни и разиграни, во склад со детската живост, а со имагинативните детали не само што го придружуваат, туку и самостојно го надополнуваат текстот на Наташа Конц Лоренцути.",Романи за деца,Наташа Конц Лоренцути,Бата Прес,2023.0,77.0,350 Денари,literatura
Пе прашува за раѓањето...,"ПЕ ПРАШУВА ЗА РАЃАЊЕТО е трета од низата сликовници во кои момчето Пе (Петар) го прашува светот околу него. Прво Пе не добил одговори од сликовницата на неговите прашања за небото и боите, ниту за тоа што е добро, а што зло. Затоа сега Пе од тетка Сликовница сака да открие како дошол на свет. Тетка Сликовница одолговлекува со својот одговор и на крајот успева повторно сѐ да заобиколи. Но, важно е дека Пе продолжува да собира информации и од нив си создава свој свет, а сето тоа заедно со тетка Сликовница, неговите родители и малечката Ана.",Сликовници,Силвија Шесто,Прозарт Медиа,2024.0,29.0,400 Денари,literatura
Решавај со Дина и Додо 5: Пронајди ги разликите,"За развој на логичките капацитети и способности. За јакнење на концентрацијата. За поттикнување на детската љубопитност, фантазија и креативност. Учење низ забава.",Едукативни игри и квизови,,Арс Ламина,2023.0,24.0,78 Денари,literatura
Камената девојка,"Некаде во раскошните убавини на Велмир, меѓу ридовите и долините каде што никакви градови, ниту пак селца не можеа да се забележат во близина, живееше волшебникот кој се трудеше да заборави сѐ, па дури и сопственото име. Скршен и напуштен од најголемата љубов на неговиот живот, Ленора – која исчезнала без трага и глас и никој не знае дали воопшто е жива, волшебникот ги минува своите денови читајќи книги и разговарајќи со многу нетипична соговорничка – една камена статуа. Сѐ до еден ден кога ќе сфати дека мора да го промени својот живот и ќе реши повторно да се занимава со веќе подзаборавената вештина на правење магии… за да ја оживее камената девојка.",Романи и раскази за млади,Елена Стојкова,Чудна Шума,2023.0,112.0,550 Денари,literatura
Хрониките на госпоѓицата Задутре - Времето на вештерката Никогаш,"Госпоѓицата Задутре ја запознав многу одамна, уште во времето кога беше малечка и за прв пат си заигра со Времето. Работите тогаш не завршија добро за неа, затоа што нејзиниот вујко Темпус Први, ја изгони во далечните предели на царството, на еден остров сред временскиот вител, далеку од семејството и пријателите, а единствено друштво и беше музиката. Така, госпоѓицата Задутре порасна и стана тинејџерка. Ја сретнав многу подоцна… Скоро и дека не ја препознав со нејзината виолетова коса, асиметричната облека и бунтовниот дух. Ми рече дека има големи планови и мечти. Ми вети вртоглави патувања низ минатото и иднината, ако ќе ја придружувам на нејзиното ново патување. Не можев да ја одбијам и се најдов сред авантура преполна со пирати и сенки, со вештерки и музичари, мрачни предели и возбудливи љубовни приказни. Адина Росети Книгата е наменета за деца од 10 + години.",Романи за деца,Адина Росети,Прозарт Медиа,2024.0,340.0,500 Денари,literatura
Сакам лав,Сликовница за деца од предшколска возраст. Текст и илустрации . Превод од Холандски автори .,Сликовници,"Анемари ван дер Еем, Марк Јансен",Сказнувалка,2021.0,36.0,680 Денари,literatura
Мојата бебешка книгичка - први зборови,Симпатично картонско издание за вашите најмали. Големи илустрации и едноставен принцип за првата средба со основните зборови i едноставен принцип за првата средба со бројките.,Сликовници со тврди страници,Група автори,Топер,,10.0,120 Денари,literatura
Чудниот пијалак на грофот,"Џеронимо Стилтон живее во Глувчево, на Островот на Глувците, еден необичен остров во облик на парче сирење, сместен во Јужниот Стаорски Океан. Овде природата е заштитена, а глодачите живеат среќно. Во слободното време, Џеронимо собира стари корки пармезан од осумнаесеттиот век, но, најмногу од сè, обожава да пишува книги во кои што ги раскажува неговите извонредни глувчешки авантури! Дипломирал на Глувчологија на глодарската книжевност и Компаративна археоглувчешка филозофија. Раководи со Глувчеви Вести, најпознатиот весник на Островот на Глувците. Има добиено многу признанија, меѓу кои и наградата Глувцингер за делото „Тајната на исчезнатото богатство“.",Романи за деца,Џеронимо Стилтон,Култура,2024.0,128.0,290 Денари,literatura
Ова е твое,"Од сè на светот, најмногу сакам да цртам. Но листот хартија е претесен за мене. Кога почнува да врне толку силно што ги брише детските цртежи на асфалтот, се појавува еден човек. Се вика Анселмо и е сликар. Тој му предлага на младиот уметник да се засолнат во неговата куќа. Анселмо потекнува од Островот на папагалите и црта слики за восхит. Помеѓу него и младиот уметник се раѓа исклучително пријателство… сè до моментот кога Анселмо треба да се врати на својот остров. Изгледа дека сонот на детенцето ќе се распрсне на стотици делчиња. Но Анселмо ќе стори нешто посебно за иднината на младиот уметник! Сликовницата е посветена на луѓето што ги ценат децата и нивната креативност.",Сликовници,Сане те Лоу,Антолог,2023.0,10.0,600 Денари,literatura
