Наслов,Опис,Kатегорија,Автор,Издавач,Година,Страници,Цена
Тврдина,"„Тврдина“ е еден од двата класици на великанот на светскиот роман во дваесеттиот век, Меша Селимовиќ.
По огромниот успех што го доживува со „Дервишот и смртта“, романот што денес претставува симбол за неговото име, Селимовиќ во 1970 година го објавува „Тврдина“, кој на некој начин претставува роман близнак, огледален роман на „Дервишот и смртта“.
За ова свое дело Селимовиќ ќе истакне: „Тврдината е еден поширок симбол. Тоа е сè што ги одвојува луѓето: религијата, нациите, државите, убедувањата, предрасудите, сè во што се затвора поединецот и заедницата кон другиот. Во однос на книгата ’Дервишот и смртта‘, каде што е дадена димензија на омраза и страсти, во ’Тврдина‘ сакав да го покажам излезот од таа затвореност во која луѓето живеат одамна, па и денес. Може ли да се излезе од тврдината и од тврдините, можат ли луѓето поинаку да разговараат меѓу себе освен преку пушкарниците? Мојот главен јунак ги има сите услови да биде огорчен и затворен во себе и тој сепак се обидува да најде пат до другите луѓе. За него е неприфатлив каков било друг пат освен патот на љубовта.“",Фикција,Меша Селимовиќ,Антолог,2023,352,"450,00 Денари"
Нека играат децата (трето издание),"Трето издание на „Нека играат децата“ од Денис Бојаров, збирка раскази наменета за различни возрасни категории, која обработува социолошки, психолошки и филозофски теми поврзани со децата, со семејството, но и со човекот воопшто.
Во голема мера книгата изобилува со автобиографски приказни, збогатени со имагинативната нарација, преку кои авторот воспоставува комуникација и блискост со читателот и му испраќа емотивни и моќни пораки.
Нараторот преку гласот на децата, преку родителите, животните и растенијата комуницира со читателот и му дава еден готов производ од ликови и настани од нашето поднебје, со кои сите ние се идентификуваме. Педесет и еден расказ на број, тематски слични, сепак со поинакво сиже и поуки. Ова се раскази што ќе ја поттикнат емпатијата во вас.
  *Книгата е достапна со потпис од авторот. Во коментар за нарачката нагласете доколку сакате да добиете потпишан примерок.",Фикција,Денис Бојаров,Антолог,2021,160,"300,00 Денари"
Азбука за непослушните,"„Азбука за непослушните“ е роман сместен во 863 година, во манастирот Полихронос на Олимп. Главната приказна за послушните и непослушните ја раскажува, односно ја запишува, немиот клисар во манастирот. Литерарен, филозофски и историски преплет преку кој се реактуализира средновековието. Авторот му поставува директни прашања на читателот, испитувајќи го колку знае за себе, за сопствената историја, за Библијата, митологијата и фолклорот. Андоновски прави „воскреснување на замрените букви“, кои преку својата фиксирана ортографија зборуваат за едно ликовно поимање на стварноста. Преку девет столетија, авторот дешифрира архаични зборови/архаизми и на инвентивен начин ја реактуализира и глаголицата, при што зад секоја буква создава приказна. Првиот роман на Венко Андоновски нè освојува со својата свежа интерпретација на средниот век и просторите на кои живееме.",Фикција,Венко Андоновски,Антолог,2018,144,"250,00 Денари"
Повторно дома,"Еден човек се враќа во родниот крај откако долго време поминал на Флорида. Причините поради кои Ерки отишол во Америка пред десетина години се поврзани со тежок финансиски криминал и сега тој се враќа да си го земе она што смета дека е негово – местото во општеството и жената. Меѓутоа, нештата не се одвиваат според неговиот план. Како беше, домашниот и надворешниот есап се разликуваат. Сопругата има син од друг човек, а има нешта што не можат да се купат со пари. Гастарбајтерот влегува во директен конфликт со многумина од локалните граѓани.",Фикција,Анти Тури,Антолог,2013,288,"280,00 Денари"
Трач,"ОД БЕСТСЕЛЕР-АВТОРКАТА НА „ЊУЈОРК ТАЈМС“!
Дали слушна? Грејс ѝ се доверува на својата најдобра пријателка Меделин дека го изневерува сопругот, а оваа почнува да пишува роман за тоа, сакајќи да ѝ го објави зад грб…
Емотивната сага ТРАЧ е прекрасна книга од „кралицата на летните романи“ – Елин Хилдербранд.
Меделин Кинг и Грејс Панцик се најдобри пријателки на кои им завидува цел град поради сето она што го имаат – совршени бракови, прекрасни деца, заеднички вечери во недела навечер. Сепак, ова лето мириса на промена. А, доколку во Нантакет сакаат нешто повеќе од коктели на плажа на зајдисонце, тоа е – добар трач. Но овој пат можеби вистината е полоша и од трачот.",Фикција,Елин Хилдербранд,Антолог,2016,368,"400,00 Денари"
"Мојата сестра, сериски убиец","Три убиства веќе те прават сериски убиец. Или не?
Кореде е огорчена. И, како да не биде?! Нејзината сестра Ајола е многу нешта: омиленото дете, најубавата ќерка, но веројатно и – социопат.
Кога вечерата на Кореде е прекината од вознемирувачкиот повик на сестра ѝ Ајола, таа знае што се очекува од неа: белило, гумени ракавици, нерви од челик и силен стомак. Ова ќе биде третото момче на Ајола по ред  убиено во самоодбрана и со тоа официјално трета збрка што нејзината сестра треба да ја расчисти.
Кореде веројатно би требало да оди во полиција, но… ја сака својата сестра и, како што велат: семејството секогаш на прво место.
Морничав трилер преполн со црн хумор и сатира, приказна за љубовта, но и остра критика на семејните односи во современото општество.
Оваа книга за рекордно брзо време се искачи на сите читателски топ-листи. Беше и на пошироката листа на номинации за Букеровата награда за 2019 и финалист на Women’s Prize 2019.",Фикција,Ојинкан Брејтвејт,Антолог,2020,192,"300,00 Денари"
Појадок кај Тифани (II издание),,Фикција,Труман Капоти,Антолог,2009,112,"200,00 Денари"
Травничка хроника,"Оригинален книжевен поглед со богат историографски увид за разликите во светогледите на луѓето од Истокот и од Западот на почетокот од XIX век во Босна.
Романот претставува седумгодишен летопис кој го опфаќа периодот од 1807 до 1814 година, кое е и времето на подемот и падот на Наполеон. Травник тогаш бил везирски град и во него се мешале односите меѓу француските и австриските конзули со месното население и османлиските великодостојници. Во оваа смисла, жителите на Травник се претставниците на Истокот, а францускиот конзул Давил, на Западот. Со неговото пристигнување тој станува проследувач и учесник во еден нов и дотогаш непознат, таканаречен ориентален начин на живот. На суптилен книжевен начин е нагласена непремостливата разлика помеѓу источните и западните култури.
Пишувајќи го романот за време на Втората светска војна, Андриќ користел богата документарна граѓа од сферата на историјата, етнологијата и автентични записи за личностите претставени во делото. „Травничка хроника“ е најкласичниот роман во неговото творештво.",Фикција,Иво Андриќ,Антолог,2024,480,"650,00 Денари"
Двојната земја,"Поранешна Југославија беше жешката тема на 90-тите во светот, не само поради бурните политичко-воени настани туку бидејќи тука отсекогаш двојно повеќе се мразело и се сакало од другите краишта на Земјината топка. И, кога и да се прави едното, неминовно се вклучува и другото. Не можеш да сакаш без малку да мразиш. Таков е Балканот. Двосмислен е и пристапот на авторката, која со носталгија и со критика раскажува за Југославија, донесувајќи приказна на груба воена реалност и на полн еротски набој.
Романот е добитник на наградата „Роман на годината“ на Данското национално радио.",Фикција,Биргите Косовиќ,Антолог,2014,256,"240,00 Денари"
Појадок кај Тифани (I издание),"Њујорк и продавницата за скапоцен накит „Кај Тифани“ треба да спојат еден вечен сонувач и една лесна девојка која ги врти мажите на малиот прст. Дали ќе постоеше Сексот и градот ако не се појавеше романот Појадок кај Тифани е прашање на место. Во култниот истоимен филм Холи Голајтли ја игра Одри Хепберн, која просто брилјира во улогата на џебна Венера. Неповторлива книга која и ден денес влијае на повеќе форми на музика, lifestyle, мода, современа култура.",Фикција,Труман Капоти,Антолог,2006,128,"200,00 Денари"
Вкусот на одмаздата,"Карл Морк се враќа со најсложениот случај досега!
Во 1987 година Нет Хермансен планира да им се одмазди на оние што ја малтретирале во младоста. Имено, во Данска во средината на XX век постоело безмилосно движење за казнување на девојките што биле „непослушни“. Во него учествувал и Курт Вад, харизматичен, надалеку познат хирург, кој ги стерилизирал своеглавите девојки.
Дваесетина години подоцна, детективот Карл Морк има полни раце работа со истрагата за исчезнувањето на Рита, сопственичка на бордел, случај што им го уништил животот на двајца негови колеги. Но тој не се откажува.
Кога тој и неговите помошници дознаваат дека покрај Рита, исчезнале и многу други луѓе во приближно исто време, трагата води сè поблизу до познатиот хирург Курт Вад. Неговото брутално малтретирање на Нет е само делче од еден поголем и застрашувачки мозаик.",Фикција,Јуси Адлер-Олсен,Антолог,2021,480,"500,00 Денари"
Празни улици,"Дејството почнува кога главниот лик случајно нагазува на шилец од еден дрвен предмет. Формата на чудниот предмет ја препознава на различни места во градот и таа го води во потрага по една млада девојка што неодамна исчезнала.
Девојката има 22 години, но со својата краткоистрижена коса личи на тинејџерка. Нејзината тетоважа на стомакот е енигма за херојот на романот, кој мисли дека, ако го разгатне симболот од тетоважата, ќе може да ја открие и тајната на исчезнувањето. Книгата се претвора во магична детективска приказна, но и медитација за значењето на животот, исполнета со голем број потраги и мистериозни исчезнувања.
Романот „Празни улици“ изобилува со игра, напнатост, симболи, философија, поезија, описи на амбиенти и необични ликови, кои стапуваат во несекојдневни односи и ситуации.
Дали мистеријата ќе го доведе херојот до банално разочарување на неговите очекувања или навистина ќе открие некоја голема и длабока тајна?
За романот „Празни улици“ во 2005 година Михал Ајваз ја добива највисоката национална награда во Чешка, „Јарослав Сајферт“.",Фикција,Михал Ајваз,Антолог,2017,464,"400,00 Денари"
Ова се имињата,"Гранично гратче во степата. Мала група прегладнети и бесни бегалци се појавуваат од нигде-никаде и шират страв и паника во градот. Кога полицискиот инспектор Понтус Бег наредува да се уапсат, во нивните куфери наоѓаат доказ за убиство. Како што тој ја разоткрива историјата на нивното пеколно патување така таа почнува да се испреплетува со неговото потекло. Тој станува некој вид инквизитор, а подоцна и спасител на групата. Соредок спој на хумор и мудрост, Томи Виринга ја поврзувамрачната човекова природа сопрашањето кои смеи дали искупувањето е возможно.
Романот е добитник на наградата „Либрис“ за 2014 година.",Фикција,Томи Виринга,Антолог,2017,264,"300,00 Денари"
Центурија,"Дали може да си претставите книга составена од 100 романи, а секој „роман“ да биде долг само две страници. Тоа го постигнал Манганели со овие лежерни, комични, шармантни, луцидни приказни кои нè пренесуваат во светот на стотици фасцинантни ликови. Книгата е еден од најоригиналните експерименти во литературата, забавна и провокативна, елегантнаи сугестивна. Центурија ја има добиено и високата италијанска награда Вијареџо.",Фикција,Џорџо Манганели,Антолог,2012,288,"340,00 Денари"
Остров на тишината,"Предизвик за љубителите на авантуристични приказни – неизвесност зачинета со летна романса.
Четворица туристи од Франција и од Англија учествуваат во предизвик што го прочитале преку социјалните медиуми. Не ги слушаат предупредувањата на старицата од пансионот чиј покоен сопруг бил еден од стражарите на „забранетиот град“ во времето кога се случило нешто за кое се молчи. „Градот не смее да се вознемирува“, ги советува таа. Некој од туристите смета дека се работи само за суеверие, друг прифаќа да оди надгласан од групата, трет живее за авантура, иако не се познаваат добро меѓу себе.
Островот Сазан во близина на Валона е популарна туристичка дестинација, опкружен со тиркизни води и уникатна плажа и познат по сочуваниот напуштен град, целосно забранет за пристап до 2015 година, а сега достапен единствено за организирани краткотрајни посети.
Напуштениот град можеби и не е напуштен… која е тајната на „Островот на тишината“?",Фикција,Весела Богдановиќ,Антолог,2023,240,"400,00 Денари"
Лавиринтот: Лек за смртта,"Се гледа крајот.
ЗЛОПАК му одзеде на Томас сè: животот, сеќавањата, како и единствените пријатели што ги има – Лединарите. Останува уште еден последен тест. Да се открие лек што ќе го спаси светот.
Дали некој ќе преживее?
Она што ЗЛОПАК не го знае е дека Томас памети повеќе одошто тие мислат. А тоа е доволно за да не им верува на ниту еден збор.
Вистината ќе биде ужасувачка.
Томас го победи Лавиринтот. Побегна од Пустошот. Сè стави на коцка за да ги спаси своите пријатели. Но само вистината може да стави крај на сето тоа.
Времето на лагите е завршено.",Фикција,Џејмс Дашнер,Антолог,2017,304,"350,00 Денари"
Убиства со монограм,"Нов роман за Херкул Поаро – ново таинствено убиство што може да го реши само брилијантниот белгиски детектив.
„Јас сум мртва жена, или ќе бидам наскоро…“
Мирната вечера на Херкул Поаро во едно лондонско кафуле ја прекинува непозната жена што му се доверува дека наскоро ќе биде убиена. Иако видно уплашена, таа го моли Поаро да не го бара нејзиниот убиец бидејќи со нејзината смрт правдата ќе биде задоволена.
Истата вечер во еден отмен Лондонски хотел се убиени тројца гости, а на секого од нив во уста му е оставено по едно копче. Дали овие убиства се поврзани со преплашената жена? И, додека Поаро се труди да го расветли случајот, на повидок е четврто убиство.
Во стилот на брилијантната Агата Кристи, Софи Хана нè води низ една ѓаволски замрсена загатка, која не може да ја разреши никој освен ненадминатиот Херкул Поаро.",Фикција,Софи Хана,Антолог,2020,320,"400,00 Денари"
Времиња на игра. Детство во Трансилванија,"Ова дело, опиено од мирисите на детските игри и на убавите спомени, ги опишува настаните поврзани со едно мешано германско-романско семејство што живее некаде близу градот Брашов во седумдесеттите години на XX век, видени и пренесени преку очите на едно шестгодишно дете.
Живеејќи помеѓу два различни менталитети, на германските Саси и на романските Олтенци, момченцето се обидува да ги опише и да ги разбере премрежињата низ кои минале неколку генерации од двете семејства, притоа опишувајќи ги парадоксите на различните идеологии, култури и религии конфронтирани на различни нивоа.
За него сите настани се само игри што ги играат, не само децата туку и возрасните, и тоа – во домот во кој живее, на улицата пред куќата, во маалото каде што го поминува времето.
Романот е добитник на престижната Награда за литература на Европската Унија за 2016 година.",Фикција,Клаудиу М. Флоријан,Антолог,2018,368,"350,00 Денари"
Spectator (VII издание),Седмо издание на романот „Spectator“ од Жарко Кујунџиски.,Фикција,Жарко Кујунџиски,Антолог,2015,144,"200,00 Денари"
Невидливи љубови,"Романот Невидливи љубови на Владимир Јанковски опфаќа три приказни, во кои авторот преиспитува некои од клучните аспекти на современата љубов: односот меѓу присуството и отсуството, опседнатоста со појавното и со видливото, идејата за Другиот како конструкција и како фикција.
Како се однесува кон девојката што ја сака некој што може да се преобразува во предмети? На кој начин сака човек опседнат со набљудување? Што прави оној што, секогаш кога ќе се доближи до девојката во која е вљубен, станува невидлив?
Две нетипични бајки за возрасни премостени со динамично раскажана реалистична приказна, во кои како во музичка композиција идеите варираат, се надополнуваат, си противречат или течат паралелно една покрај друга.",Фикција,Владимир Јанковски,Антолог,2015,160,"200,00 Денари"
Жртва 2117,"#8 СЕКТОРОТ Q
Застрашувачка меѓународна истрага ја открива сложената животна приказна на еден од членовите на одделот за нерешени случаи – загадочниот Асад.
Весниците го нарекуваат мртвото тело само „Жртва 2117“, две илјади сто и седумнаесеттиот мигрант што го загубил животот во Средоземното Море.
Но за тројца луѓе, жртвата е многу повеќе, а нејзината смрт поттикнува низа настани, кои Секторот Q, предводен од инспекторот Карл Морк, го фрлаат во длабоко опасен и прилично личен случај, кој не само што открива мрачни тајни за минатото туку и смртоносни последици за иднината.
За едно психички нестабилно момче од Данска, смртта на Жртвата 2117 станува симбол на сѐ што мрази и е совршен изговор да ги ослободи своите убиствени нагони. За Галиб, суров мачител од озлогласениот затвор Абу Граиб, смртта на Жртвата 2117 е првиот чекор во терористичка завера, планирана со години. А за Асад, Жртвата 2117 е врската до неговото закопано минато и до своите најблиски кои ги сметал за одамна мртви.",Фикција,Јуси Адлер-Олсен,Антолог,2023,463,"550,00 Денари"
Вештачко дишење,"„Вештачко дишење“ е објавен во 1980 година, време кога илјадници граѓани на Аргентина „исчезнале“ при обидот на владата да создаде авторитарна држава. Во облик на детективски роман, преку различни нивоа на мистерија, книгата ги истражува силите на влијание низ историјата на Аргентина. Нараторот, писател по име Емилио Рензи, почнува да го бара исчезнатиот вујко, Марсело Маги, кој е поврзан со низа контрадикторни семејни приказни и енигматични писма. Токму преку тие писма Емилио дознава дека неговиот вујко водел истраги за животот на Енрике Осарио, секретар и шпион на аргентинскиот диктатор Росас од деветнаесеттиот век.
Романот во вториот дел се претвора во своевиден есеј во кој авторот развива книжевни теории преку разговор меѓу два лика, извртувајќи ги законите на картезијанската логика и конструирајќи фасцинантни тези, како врската меѓу Кафка и Хитлер.",Фикција,Рикардо Пиглија,Антолог,2018,224,"250,00 Денари"
Домот во кој…,"Едно момче ќе биде одведено во дом за деца со посебни потреби. Наеднаш пред него ќе се отвори сосем нов свет со сопствени ликови и со правила на однесување, толку различни од „обичниот“ свет. Децата се доведени таму од своите родители и заборавени. Сепак, нивната детска фантазија и игри не може никој да им ги одземе. Сите тие имаат впечатливи прекари и карактери. Не сме сигурни дали Лорд навистина потекнува од благородничко семејство, но Слепиот навистина е слеп, а Сфинга е мудар. Тутунот не е лошо дете, но сака да заработи на туѓа сметка. А тука е и таинствената појава на детето со име Македонски.
Домот е многу повеќе од дом за деца со посебни потреби, тоа е еден засебен универзум, а штитениците на домот не се лица со посебни потреби – не, тоа се лица со посебни можности!",Фикција,Маријам Петросјан,Антолог,2016,848,"700,00 Денари"
Порака во шише,"Израснат во екстремно религиско семејство, кога пораснал, педантно и безмилосно тргнал во поход да се одмазди на сите секти за своето несреќно и заробено детство.
Планот му го загрозува шише, пронајдено на морски брег, а потоа со години заборавено во шкотска полициска станица. Во шишето се наоѓа порака што е мошне уништена и тешко читлива. Единствено може да се забележи: ПОМОШ!
Кога шишето стигнува во рацете на инспекторот Карл Морк во Данска, заедно со помошниците Асад и Роуз тој ќе успее да дешифрира повеќе букви од пораката.
Станува јасно дека некаде во деведесеттите години две момчиња биле киднапирани, а ова шише е единствениот знак на живот што тие го испратиле.
Но кои се момчињата и зошто нивните родители никогаш не пријавиле дека се исчезнати? И, што се случило со нив?
„Порака во шише“ во 2010 година ја доби престижната награда „Стаклен клуч“ во категоријата најдобар нордиски крими-роман на годината.",Фикција,Јуси Адлер-Олсен,Антолог,2021,464,"500,00 Денари"
Спиј!,"Маја страда од несоница. Пробува сè и сешто за да дремне барем малку. Советите од пријатели и од стручни лица не помагаат. Терапиите преку ШопЧанел и курсевите, исто така. Кога партнерот ја остава бидејќи покрај неа веќе не се издржува, таа ја губи контролата врз себе. Ноќе фрустрирано буди други луѓе… Сè додека на едно од своите полноќни талкања не ја сретне сродната душа, Беноа. Тоа е почеток на чудна врска. Затоа што, додека таа живее во сегашноста, тој повеќе сака да се наврати на времето што веќе поминало…",Фикција,Анелис Вербеке,Антолог,2015,144,"200,00 Денари"
Макунаима,"Макунаима е член на племето Тапанхума. Тој го живее својот мрзлив и безгрижен живот во бразилските прашуми. Но, кога ќе го загуби талисманот, мора да го напушти племето и да тргне кон Сао Пауло, изненадувачкиот милионски град, каде што врие од цивилизација. „Херојот без карактер“ таму наидува на бордели, на воени паради и на полицијата. Сретнува вештерки, герилци, индустриски магнати што „мелат“ луѓе. И, несмасен каков што е, на сопствената кожа ги чувствува најчудните обичаи на своето време. Романот Макунаима има ненадминато место во бразилската литература.",Фикција,Марио де Андраде,Антолог,2016,160,"200,00 Денари"
Штама,"# 6 ДЕТСКАТА КУЌА
Убиена жена. Исчезнато дете. Татко што бара одмазда.
Еден студен ден во Рејкјавик исчезнува бебе родено од сурогат мајка.
Единаесет години подоцна девојче умира од морбили, а таткото сака да се пресмета со личноста што ја заразило. Хулдар и Фреја сега работат во иста полициска зграда. Фреја се обидува нивните лични односи да ги држи настрана од професионалните, колку тешко и да е тоа. Тогаш, во напуштен автомобил е пронајдено распарчено тело на една жена. Полицијата не може да ја пронајде нејзината глава. Додека работат на случајот, а наоколу владее штама, тајната околу аферата на Хулдар и Фреја е речиси пред разоткривање.
Идентификувањето на телото на жената ги враќа назад во тајните на минатото и им отвора дотогаш неоткриени злосторства што поврзуваат три различни семејства. Ништо не е како што изгледа во овој комплициран случај!",Фикција,Ирса Сигурдардотир,Антолог,2022,432,"550,00 Денари"
Љубов на два континента,"Едноставен роман, лесен за читање, проткаен со многу емоции. Во него авторката со лирска нота, на моменти многу суптилна или нежно мека, силно изразена со боите на искрените чувства, го одразува денешното живеење и го држи читателот љубопитно да го следи дејството.
Главен лајтмотив на овој роман е сепак љубовта, како животен резонанс, изразена најмногу како љубов меѓу двајца вљубени, или искрена љубов кон децата, до исконска љубов кон родната Македонија. Многу автентично, со особена колоритност авторката ги опишува кејот на Вардар, Водно, Охрид, Маврово, Радика…
Авторката Марија Бабамова во овој роман се служи и со доста метафори, оставајќи простор на читателот да се поистоветува со напишаното или да ја открие вистинската мисла на авторот. Највпечатлива е метафората со црешата, кој во дел од дејството е вистинска цреша – дрво, но кога се работи за носталгично-емотивните доживувања, таа цреша е Македонија.
Целиот роман претставува богатство од поетски споредби, топли доживувања, искрена симболика, логичка последователност на настаните. Севкупната содржина е судбинска лирска исповед, искрена, исткаена и облагородена со тајните на животната сензибилност.
На прашањето „Дали, дали???“ – дали некогаш Иван ќе го добие одговорот, останува да погодува читателот…",Фикција,Марија Бабамова,Антолог,2017,112,"200,00 Денари"
Повикот на кукавицата,"Број 1 интернационален бестселер.
Напнат крими-роман сместен во атмосферата на Лондон  од тивките улици на Мејфер, преку пабовите во зафрлените улички на Ист Енд до бучавата на Сохо.
Една снежна вечер манекенката Лула Ланди ќе падне од балконот на својот апартман. Нејзиното проблематично однесување ќе ја наведе јавноста да заклучи дека станува збор за самоубиство. Меѓутоа, нејзиниот брат не го дели општото мислење. Тој го најмува приватниот детектив Корморан Страјк да го испита случајот.
Страјк е воен ветеран, со многу проблеми и на физички и на психички план. Неговиот живот се распаѓа, така што истрагата околу смртта на познатата манекенка ќе му се види како појас за спасување. Случајот го втурнува во светот на мултимилионерските убавици, рок-естрадата и очајните дизајнери, свет исполнет со разновидни задоволства, искушенија, пороци и заблуди. Откривајќи шокантни тајни, детективот ќе влезе во срцето на опасноста.
Можеби мислите дека веќе знаете сè за детективите, но никогаш не сте сретнале некој како Страјк. Можеби мислите дека знаете сè за богатите и славните, но никогаш не сте ги виделе во истрага како оваа.",Фикција,Роберт Галбрајт,Антолог,2020,480,"550,00 Денари"
Spectator (III издание),Tрето издание на романот Spectator.,Фикција,Жарко Кујунџиски,Антолог,2005,187,"200,00 Денари"
Плен,"„Плен“ е самостоен психотрилер на Ирса Сигурдардотир од кој смрзнува крвта и кој ќе ви предизвика бессони ноќи.
Спасувачки тим е пратен во зафрлена исландска висорамнина во потрага по група исчезнати луѓе. Што е тоа што ги натерало двете брачни двојки да појдат на ризично патување, во толку лоши временски услови? И зошто го напуштиле единственото засолниште, скудно облечени и целосно изложени на страшниот студ?
Во меѓувреме, необични работи се случуваат и во далечната радарска станица во Стокснес. И тука е сè чудно. Без разлика дали станува збор за локвата крв откриена во негибнат снег, за малото детско чевличе пронајдено неколку децении откако е закопано или за црната дупка во карпата покрај морето, која како да ги привлекува луѓето.
Снегот продолжува да паѓа, необјаснивите настани не престануваат и ништо не е како што изгледа…",Фикција,Ирса Сигурдардотир,Антолог,2024,320,"500,00 Денари"
